,Model,Accuracy,Precision,Recall,F1 Score,AUC,Macro Avg F1,Weighted Avg F1
0,Logistic Regression,0.9996666666666667,1,0.9841269841269841,0.992,0.9999364971275083,0.9959148936170212,0.9996653617021278
1,Decision Tree,0.9943333333333333,0.7948717948717948,0.9841269841269841,0.8794326241134752,0.9893396241710849,0.938265552541462,0.9946274979754733
2,Random Forest,0.9976666666666667,0.9307692307692308,0.9603174603174603,0.9453125,0.9991927028443882,0.9720602009536785,0.9976844984673024
3,Support Vector Machine,0.9998333333333334,1,0.9920634920634921,0.9960159362549801,0.9999932443752668,0.9979654113141443,0.9998330084208235
