,Model,Accuracy,Precision,Recall,F1 Score,AUC,Macro Avg F1,Weighted Avg F1
0,Logistic Regression,0.9981666666666666,0.990990990990991,0.9166666666666666,0.9523809523809523,0.9927083333333333,0.9757231467657161,0.9981316533750896
1,Decision Tree,0.9925,0.7483443708609272,0.9416666666666667,0.8339483394833949,0.9676020408163265,0.9150558476341009,0.9929190554587787
2,Random Forest,0.9975,0.92,0.9583333333333334,0.9387755102040817,0.9895507369614513,0.9687497287302842,0.9975249785154384
3,Support Vector Machine,0.9986666666666667,1,0.9333333333333333,0.9655172413793104,0.9936181972789117,0.9824187158630067,0.9986441313673551
