,Model,Accuracy,Precision,Recall,F1 Score,AUC,Macro Avg F1,Weighted Avg F1
0,Logistic Regression,0.9986666666666667,1,0.936,0.9669421487603306,0.9979288510638298,0.9831308804696364,0.9986450816910544
1,Decision Tree,0.9905,0.7,0.952,0.8067796610169492,0.971659574468085,0.9009549736097133,0.9912063148444457
2,Random Forest,0.9965,0.8823529411764706,0.96,0.9195402298850575,0.9983394042553191,0.9588756605597022,0.9965721149562369
3,Support Vector Machine,0.9988333333333334,1,0.944,0.9711934156378601,0.9998134468085107,0.9852990128287115,0.9988168768032775
