,Model,Accuracy,Precision,Recall,F1 Score,AUC,Macro Avg F1,Weighted Avg F1
0,Logistic Regression,0.9986666666666667,1,0.936,0.9669421487603306,0.9979288510638298,0.9831308804696364,0.9986450816910544
1,Decision Tree,0.9903333333333333,0.695906432748538,0.952,0.8040540540540541,0.9715744680851063,0.8995492416545048,0.9910654631049368
2,Random Forest,0.9965,0.8880597014925373,0.952,0.918918918918919,0.9983686808510639,0.958565157440892,0.996559469357783
3,Support Vector Machine,0.9988333333333334,1,0.944,0.9711934156378601,0.9998134468085107,0.9852990128287115,0.9988168768032775
