,Model,Accuracy,Precision,Recall,F1 Score,AUC,Macro Avg F1,Weighted Avg F1
0,Logistic Regression,0.9986666666666667,0.9912280701754386,0.9416666666666667,0.9658119658119658,0.999170918367347,0.9825660203018693,0.9986499126121766
1,Decision Tree,0.9901666666666666,0.6783625730994152,0.9666666666666667,0.7972508591065293,0.9786564625850341,0.8961060000545884,0.9910069353647252
2,Random Forest,0.9968333333333333,0.8914728682170543,0.9583333333333334,0.9236947791164659,0.9931639739229026,0.9610389477234955,0.996889349586244
3,Support Vector Machine,0.999,1,0.95,0.9743589743589743,0.9999277210884354,0.986924515226402,0.9989874344591326
